title,location,deposit,rent,link,deposit_num,rent_num,deposit_million,rent_million
۲طبقه دربست ۵۰ متری سرویس کامل مرتضوی جیحون,مسکن بزرگ فدک در جیحون,"ودیعه: ۵۷۰,۰۰۰,۰۰۰ تومان",رهن کامل,https://divar.ir/v/%DB%B2%D8%B7%D8%A8%D9%82%D9%87-%D8%AF%D8%B1%D8%A8%D8%B3%D8%AA-%DB%B5%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D8%B3%D8%B1%D9%88%DB%8C%D8%B3-%DA%A9%D8%A7%D9%85%D9%84-%D9%85%D8%B1%D8%AA%D8%B6%D9%88%DB%8C-%D8%AC%DB%8C%D8%AD%D9%88%D9%86/AaNc-0Bf,570000000,0,570.0,0.0
اجاره سه واحد ۱۰۰ متری کارگاهی، انباری، تولیدی,در مولوی,"ودیعه: ۵,۰۰۰,۰۰۰ تومان","اجاره: ۱,۰۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%B3%D9%87-%D9%88%D8%A7%D8%AD%D8%AF-%DB%B1%DB%B0%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DA%A9%D8%A7%D8%B1%DA%AF%D8%A7%D9%87%DB%8C-%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%DB%8C-%D8%AA%D9%88%D9%84%DB%8C%D8%AF%DB%8C/Aai0wNk9,5000000,1000000,5.0,1.0
80 متر زمین 60 متر بنا یک سرویس,۵ ساعت پیش در هاشمی,"ودیعه: ۵۵۰,۰۰۰,۰۰۰ تومان",رهن کامل,https://divar.ir/v/80-%D9%85%D8%AA%D8%B1-%D8%B2%D9%85%DB%8C%D9%86-60-%D9%85%D8%AA%D8%B1-%D8%A8%D9%86%D8%A7-%DB%8C%DA%A9-%D8%B3%D8%B1%D9%88%DB%8C%D8%B3/AaxoXA1s,550000000,0,550.0,0.0
اجاره خانه ویلایی ۶۰متری ۳طبقه دربست کامل,۵ ساعت پیش در مینابی,"ودیعه: ۵۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۳,۰۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%AE%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%DB%B6%DB%B0%D9%85%D8%AA%D8%B1%DB%8C-%DB%B3%D8%B7%D8%A8%D9%82%D9%87-%D8%AF%D8%B1%D8%A8%D8%B3%D8%AA-%DA%A9%D8%A7%D9%85%D9%84/AaxkHtNl,500000000,3000000,500.0,3.0
۲ طبقه دربست شمالی,آژانس نوین در مسعودیه,"ودیعه: ۹۵۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۰۰,۰۰۰ تومان",https://divar.ir/v/%DB%B2-%D8%B7%D8%A8%D9%82%D9%87-%D8%AF%D8%B1%D8%A8%D8%B3%D8%AA-%D8%B4%D9%85%D8%A7%D9%84%DB%8C/AaVgKq3T,950000000,100000,950.0,0.1
خوابگاه دانشجویی دخترانه,در میدان انقلاب,"ودیعه: ۲,۰۰۰,۰۰۰ تومان","اجاره: ۲,۵۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%AE%D9%88%D8%A7%D8%A8%DA%AF%D8%A7%D9%87-%D8%AF%D8%A7%D9%86%D8%B4%D8%AC%D9%88%DB%8C%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87/wZO3XsZQ,2000000,2500000,2.0,2.5
اجاره خانه در صفائیه مناسب اتباع,۵ ساعت پیش در شهادت,"ودیعه: ۲۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۷,۰۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%AE%D8%A7%D9%86%D9%87-%D8%AF%D8%B1-%D8%B5%D9%81%D8%A7%D8%A6%DB%8C%D9%87-%D9%85%D9%86%D8%A7%D8%B3%D8%A8-%D8%A7%D8%AA%D8%A8%D8%A7%D8%B9/AaxQHgOp,200000000,7000000,200.0,7.0
ویلایی جهت لوکیشن,۵ ساعت پیش در شهرک آزادی,"ودیعه: ۱,۰۰۰,۰۰۰ تومان","اجاره: ۱۰۰,۰۰۰ تومان",https://divar.ir/v/%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%D8%AC%D9%87%D8%AA-%D9%84%D9%88%DA%A9%DB%8C%D8%B4%D9%86/AaxQ3sRo,1000000,100000,1.0,0.1
اجاره واحد ۵۰ متری در شهرک شریعتی,در شهرک شریعتی,"ودیعه: ۸۰,۰۰۰,۰۰۰ تومان","اجاره: ۸,۰۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D9%88%D8%A7%D8%AD%D8%AF-%DB%B5%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D8%AF%D8%B1-%D8%B4%D9%87%D8%B1%DA%A9-%D8%B4%D8%B1%DB%8C%D8%B9%D8%AA%DB%8C/Aaow19Ui,80000000,8000000,80.0,8.0
۴۵ متر کلنگی ۲ طبقه نقلی,آژانس مرکزی نواب در هفت چنار,"ودیعه: ۵۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۰۰,۰۰۰ تومان",https://divar.ir/v/%DB%B4%DB%B5-%D9%85%D8%AA%D8%B1-%DA%A9%D9%84%D9%86%DA%AF%DB%8C-%DB%B2-%D8%B7%D8%A8%D9%82%D9%87-%D9%86%D9%82%D9%84%DB%8C/Aax8WcSD,500000000,100000,500.0,0.1
منزل اجاره ای,۶ ساعت پیش در امامزاده حسن(ع),"ودیعه: ۳۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۰۰,۰۰۰ تومان",https://divar.ir/v/%D9%85%D9%86%D8%B2%D9%84-%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A7%DB%8C/Aax0GzML,300000000,100000,300.0,0.1
67متری دربستی مناسب اتباع و تولیدی و انبار,مشاورین املاک بزرگ برج در ظهیرآباد,"ودیعه: ۴۰۰,۰۰۰,۰۰۰ تومان",رهن کامل,https://divar.ir/v/67%D9%85%D8%AA%D8%B1%DB%8C-%D8%AF%D8%B1%D8%A8%D8%B3%D8%AA%DB%8C-%D9%85%D9%86%D8%A7%D8%B3%D8%A8-%D8%A7%D8%AA%D8%A8%D8%A7%D8%B9-%D9%88-%D8%AA%D9%88%D9%84%DB%8C%D8%AF%DB%8C-%D9%88-%D8%A7%D9%86%D8%A8%D8%A7%D8%B1/Aapk_Plq,400000000,0,400.0,0.0
اجاره خانه دربستی,۶ ساعت پیش در بیسیم,"ودیعه: ۵۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۲۰,۰۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%AE%D8%A7%D9%86%D9%87-%D8%AF%D8%B1%D8%A8%D8%B3%D8%AA%DB%8C/Aaxs25vw,500000000,20000000,500.0,20.0
ساختمانهای اداری مناسب شرکتهای بزرگ و دانش بنیان,آژانس هلدینگ آنتیک در یوسف‌آباد,"ودیعه: ۱,۰۰۰,۰۰۰ تومان","اجاره: ۱۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%B3%D8%A7%D8%AE%D8%AA%D9%85%D8%A7%D9%86%D9%87%D8%A7%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C-%D9%85%D9%86%D8%A7%D8%B3%D8%A8-%D8%B4%D8%B1%DA%A9%D8%AA%D9%87%D8%A7%DB%8C-%D8%A8%D8%B2%D8%B1%DA%AF-%D9%88-%D8%AF%D8%A7%D9%86%D8%B4-%D8%A8%D9%86%DB%8C%D8%A7%D9%86/AaOwzbMB,1000000,100000,1.0,0.1
ساختمان های دربست متراژ بالامناسب شرکتهاوسازمانها,آژانس هلدینگ آنتیک در میرداماد,"ودیعه: ۱,۰۰۰,۰۰۰ تومان","اجاره: ۱۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%B3%D8%A7%D8%AE%D8%AA%D9%85%D8%A7%D9%86-%D9%87%D8%A7%DB%8C-%D8%AF%D8%B1%D8%A8%D8%B3%D8%AA-%D9%85%D8%AA%D8%B1%D8%A7%DA%98-%D8%A8%D8%A7%D9%84%D8%A7%D9%85%D9%86%D8%A7%D8%B3%D8%A8-%D8%B4%D8%B1%DA%A9%D8%AA%D9%87%D8%A7%D9%88%D8%B3%D8%A7%D8%B2%D9%85%D8%A7%D9%86%D9%87%D8%A7/AaXUppUt,1000000,100000,1.0,0.1
اجاره سه ساختمان دربست آموزشی و شرکتی در تهرانپارس,آژانس هلدینگ آنتیک در تهرانپارس غربی,"ودیعه: ۱۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%B3%D9%87-%D8%B3%D8%A7%D8%AE%D8%AA%D9%85%D8%A7%D9%86-%D8%AF%D8%B1%D8%A8%D8%B3%D8%AA-%D8%A2%D9%85%D9%88%D8%B2%D8%B4%DB%8C-%D9%88-%D8%B4%D8%B1%DA%A9%D8%AA%DB%8C-%D8%AF%D8%B1-%D8%AA%D9%87%D8%B1%D8%A7%D9%86%D9%BE%D8%A7%D8%B1%D8%B3/AanIVsLH,10000000,100000,10.0,0.1
ساختمان های دربست ورزشی ، اداری ، شرکتی و آموزشی,آژانس هلدینگ آنتیک در تهرانپارس غربی,"ودیعه: ۱,۰۰۰,۰۰۰ تومان","اجاره: ۱۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%B3%D8%A7%D8%AE%D8%AA%D9%85%D8%A7%D9%86-%D9%87%D8%A7%DB%8C-%D8%AF%D8%B1%D8%A8%D8%B3%D8%AA-%D9%88%D8%B1%D8%B2%D8%B4%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C-%D8%B4%D8%B1%DA%A9%D8%AA%DB%8C-%D9%88-%D8%A2%D9%85%D9%88%D8%B2%D8%B4%DB%8C/wZ2T0FRn,1000000,100000,1.0,0.1
55 متر دو خوابه تهرانسر,۶ ساعت پیش در تهران‌سر,"ودیعه: ۲۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۸,۰۰۰,۰۰۰ تومان",https://divar.ir/v/55-%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AA%D9%87%D8%B1%D8%A7%D9%86%D8%B3%D8%B1/AaxIW0UN,200000000,18000000,200.0,18.0
خانه دربست سکونت 3 خانوار,۶ ساعت پیش در خاوران,"ودیعه: ۸۵۰,۰۰۰,۰۰۰ تومان","اجاره: ۲,۰۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%AE%D8%A7%D9%86%D9%87-%D8%AF%D8%B1%D8%A8%D8%B3%D8%AA-%D8%B3%DA%A9%D9%88%D9%86%D8%AA-3-%D8%AE%D8%A7%D9%86%D9%88%D8%A7%D8%B1/AaxI2_U9,850000000,2000000,850.0,2.0
خانه حیاطی دربست بر خیابان مظاهری,۷ ساعت پیش در شوش,"ودیعه: ۷۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱,۰۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%AE%D8%A7%D9%86%D9%87-%D8%AD%DB%8C%D8%A7%D8%B7%DB%8C-%D8%AF%D8%B1%D8%A8%D8%B3%D8%AA-%D8%A8%D8%B1-%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86-%D9%85%D8%B8%D8%A7%D9%87%D8%B1%DB%8C/AawI7dbX,700000000,1000000,700.0,1.0
ویلایی ۲۰۰ متری,در مسعودیه,"ودیعه: ۶۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۱,۰۰۰,۰۰۰ تومان",https://divar.ir/v/%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%DB%B2%DB%B0%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C/Aavg12q8,600000000,1000000,600.0,1.0
رهن خانه ویلایی ۸۰ متری ۴ خوابه در گمرک,۷ ساعت پیش در گمرک,"ودیعه: ۶۱۵,۰۰۰,۰۰۰ تومان",رهن کامل,https://divar.ir/v/%D8%B1%D9%87%D9%86-%D8%AE%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%DB%B8%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B4-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AF%D8%B1-%DA%AF%D9%85%D8%B1%DA%A9/Aax8V_5O,615000000,0,615.0,0.0
